t_(c) t_(k) p_(kpa) satliq_v evap_v satvap_v satliq_u evap_u satvap_u satliq_h evap_h satvap_h satliq_s evap_s satvap_s
66 339.15 26.15 1.020 5947.2 5948.2 276.2 2188.3 2464.5 276.2 2343.9 2620.1 0.9057 6.9111 7.8168
67 340.15 27.33 1.021 5705.2 5706.2 280.4 2185.4 2465.8 280.4 2341.4 2621.8 0.9180 6.8835 7.8015
68 341.15 28.56 1.022 5474.6 5475.6 284.6 2182.5 2467.1 284.6 2338.9 2623.5 0.9303 6.8561 7.7864
69 342.15 29.84 1.022 5254.8 5255.8 288.8 2179.6 2468.4 288.8 2336.4 2625.2 0.9426 6.8288 7.7714
70 343.15 31.16 1.023 5045.2 5046.3 292.9 2176.7 2469.7 293.0 2334.0 2626.9 0.9548 6.8017 7.7565
71 344.15 32.53 1.023 4845.4 4846.4 297.1 2173.8 2470.9 297.2 2331.5 2628.6 0.9670 6.7747 7.7417
72 345.15 33.96 1.024 4654.7 4655.7 301.3 2170.9 2472.2 301.4 2329.0 2630.3 0.9792 6.7478 7.7270
73 346.15 35.43 1.025 4472.7 4473.7 305.5 2168.0 2473.5 305.5 2326.5 2632.0 0.9913 6.7211 7.7124
74 347.15 36.96 1.025 4299.0 4300.0 309.7 2165.1 2474.8 309.7 2324.0 2633.7 1.0034 6.6945 7.6979
75 348.15 38.55 1.026 4133.1 4134.1 313.9 2162.1 2476.0 313.9 2321.5 2635.4 1.0154 6.6681 7.6835
76 349.15 40.19 1.027 3974.6 3975.7 318.1 2159.2 2477.3 318.1 2318.9 2637.1 1.0275 6.6418 7.6693
77 350.15 41.89 1.027 3823.3 3824.3 322.3 2156.3 2478.5 322.3 2316.4 2638.7 1.0395 6.6156 7.6551
78 351.15 43.65 1.028 3678.6 3679.6 326.5 2153.3 2479.8 326.5 2313.9 2640.4 1.0514 6.5896 7.6410
79 352.15 45.47 1.029 3540.3 3541.3 330.7 2150.4 2481.1 330.7 2311.4 2642.1 1.0634 6.5637 7.6271
80 353.15 47.36 1.029 3408.1 3409.1 334.9 2147.4 2482.3 334.9 2308.8 2643.8 1.0753 6.5380 7.6132
81 354.15 49.31 1.030 3281.6 3282.6 339.1 2144.5 2483.5 339.1 2306.3 2645.4 1.0871 6.5123 7.5995
82 355.15 51.33 1.031 3160.6 3161.6 343.3 2141.5 2484.8 343.3 2303.8 2647.1 1.0990 6.4868 7.5858
83 356.15 53.42 1.031 3044.8 3045.8 347.5 2138.6 2486.0 347.5 2301.2 2648.7 1.1108 6.4615 7.5722
84 357.15 55.57 1.032 2933.9 2935.0 351.7 2135.6 2487.3 351.7 2298.6 2650.4 1.1225 6.4362 7.5587
85 358.15 57.80 1.033 2827.8 2828.8 355.9 2132.6 2488.5 355.9 2296.1 2652.0 1.1343 6.4111 7.5454
86 359.15 60.11 1.033 2726.1 2727.2 360.1 2129.7 2489.7 360.1 2293.5 2653.6 1.1460 6.3861 7.5321
87 360.15 62.49 1.034 2628.8 2629.8 364.3 2126.7 2490.9 364.3 2290.9 2655.3 1.1577 6.3612 7.5189
88 361.15 64.95 1.035 2535.4 2536.5 368.5 2123.7 2492.2 368.5 2288.4 2656.9 1.1693 6.3365 7.5058
89 362.15 67.49 1.035 2446.0 2447.0 372.7 2120.7 2493.4 372.7 2285.8 2658.5 1.1809 6.3119 7.4928
90 363.15 70.11 1.036 2360.3 2361.3 376.9 2117.7 2494.6 376.9 2283.2 2660.1 1.1925 6.2873 7.4799
91 364.15 72.81 1.037 2278.0 2279.1 381.1 2114.7 2495.8 381.1 2280.6 2661.7 1.2041 6.2629 7.4670
92 365.15 75.61 1.038 2199.2 2200.2 385.3 2111.7 2497.0 385.4 2278.0 2663.4 1.2156 6.2387 7.4543
93 366.15 78.49 1.038 2123.5 2124.5 389.5 2108.7 2498.2 389.6 2275.4 2665.0 1.2271 6.2145 7.4416
94 367.15 81.46 1.039 2050.9 2051.9 393.7 2105.7 2499.4 393.8 2272.8 2666.6 1.2386 6.1905 7.4291
95 368.15 84.53 1.040 1981.2 1982.2 397.9 2102.7 2500.6 398.0 2270.2 2668.1 1.2501 6.1665 7.4166
96 369.15 87.69 1.041 1914.3 1915.3 402.1 2099.7 2501.8 402.2 2267.5 2669.7 1.2615 6.1427 7.4042
97 370.15 90.94 1.041 1850.0 1851.0 406.3 2096.6 2503.0 406.4 2264.9 2671.3 1.2729 6.1190 7.3919
98 371.15 94.30 1.042 1788.3 1789.3 410.5 2093.6 2504.1 410.6 2262.2 2672.9 1.2842 6.0954 7.3796
99 372.15 97.76 1.043 1729.0 1730.0 414.7 2090.6 2505.3 414.8 2259.6 2674.4 1.2956 6.0719 7.3675
100 373.15 101.33 1.044 1672.0 1673.0 419.0 2087.5 2506.5 419.1 2256.9 2676.0 1.3069 6.0485 7.3554
102 375.15 108.78 1.045 1564.5 1565.5 427.4 2081.4 2508.8 427.5 2251.6 2679.1 1.3294 6.0021 7.3315
104 377.15 116.68 1.047 1465.1 1466.2 435.8 2075.3 2511.1 435.9 2246.3 2682.2 1.3518 5.9560 7.3078
106 379.15 125.04 1.049 1373.1 1374.2 444.3 2069.2 2513.4 444.4 2240.9 2685.3 1.3742 5.9104 7.2845
108 381.15 133.90 1.050 1287.9 1288.9 452.7 2063.0 2515.7 452.9 2235.4 2688.3 1.3964 5.8651 7.2615
110 383.15 143.27 1.052 1208.9 1209.9 461.2 2056.8 2518.0 461.3 2230.0 2691.3 1.4185 5.8203 7.2388
112 385.15 153.16 1.054 1135.6 1136.6 469.6 2050.6 2520.2 469.8 2224.5 2694.3 1.4405 5.7758 7.2164
114 387.15 163.62 1.055 1067.5 1068.5 478.1 2044.3 2522.4 478.3 2219.0 2697.2 1.4624 5.7318 7.1942
116 389.15 174.65 1.057 1004.2 1005.2 486.6 2038.1 2524.6 486.7 2213.4 2700.2 1.4842 5.6881 7.1723
118 391.15 186.28 1.059 945.3 946.3 495.0 2031.8 2526.8 495.2 2207.9 2703.1 1.5060 5.6447 7.1507
120 393.15 198.54 1.061 890.5 891.5 503.5 2025.4 2529.0 503.7 2202.2 2706.0 1.5276 5.6017 7.1293
122 395.15 211.45 1.062 839.4 840.5 512.0 2019.1 2531.1 512.2 2196.6 2708.8 1.5491 5.5590 7.1082
124 397.15 225.04 1.064 791.8 792.8 520.5 2012.7 2533.2 520.7 2190.9 2711.6 1.5706 5.5167 7.0873
126 399.15 239.33 1.066 747.3 748.4 529.0 2006.3 2535.3 529.2 2185.2 2714.4 1.5919 5.4747 7.0666
128 401.15 254.35 1.068 705.8 706.9 537.5 1999.9 2537.4 537.8 2179.4 2717.2 1.6132 5.4330 7.0462
130 403.15 270.13 1.070 667.1 668.1 546.0 1993.4 2539.4 546.3 2173.6 2719.9 1.6344 5.3917 7.0261
132 405.15 286.70 1.072 630.8 631.9 554.5 1986.9 2541.4 554.8 2167.8 2722.6 1.6555 5.3507 7.0061
134 407.15 304.07 1.074 596.9 598.0 563.1 1980.4 2543.4 563.4 2161.9 2725.3 1.6765 5.3099 6.9864
136 409.15 322.29 1.076 565.1 566.2 571.6 1973.8 2545.4 572.0 2155.9 2727.9 1.6974 5.2695 6.9669
138 411.15 341.38 1.078 535.3 536.4 580.2 1967.2 2547.4 580.5 2150.0 2730.5 1.7182 5.2293 6.9475
140 413.15 361.38 1.080 507.4 508.5 588.7 1960.6 2549.3 589.1 2144.0 2733.1 1.7390 5.1894 6.9284
142 415.15 382.31 1.082 481.2 482.3 597.3 1953.9 2551.2 597.7 2137.9 2735.6 1.7597 5.1499 6.9095
144 417.15 404.20 1.084 456.6 457.7 605.9 1947.2 2553.1 606.3 2131.8 2738.1 1.7803 5.1105 6.8908
146 419.15 427.09 1.086 433.5 434.6 614.4 1940.5 2554.9 614.9 2125.7 2740.6 1.8008 5.0715 6.8723
148 421.15 451.01 1.089 411.8 412.9 623.0 1933.7 2556.8 623.5 2119.5 2743.0 1.8213 5.0327 6.8539
150 423.15 476.00 1.091 391.4 392.4 631.6 1926.9 2558.6 632.1 2113.2 2745.4 1.8416 4.9941 6.8358
152 425.15 502.08 1.093 372.1 373.2 640.2 1920.1 2560.3 640.8 2106.9 2747.7 1.8619 4.9558 6.8178
154 427.15 529.29 1.095 354.0 355.1 648.9 1913.2 2562.1 649.4 2100.6 2750.0 1.8822 4.9178 6.8000
156 429.15 557.67 1.098 336.9 338.0 657.5 1906.3 2563.8 658.1 2094.2 2752.3 1.9023 4.8800 6.7823
158 431.15 587.25 1.100 320.8 321.9 666.1 1899.3 2565.5 666.8 2087.7 2754.5 1.9224 4.8424 6.7648
160 433.15 618.06 1.102 305.7 306.8 674.8 1892.3 2567.1 675.5 2081.3 2756.7 1.9425 4.8050 6.7475
162 435.15 650.16 1.105 291.3 292.4 683.5 1885.3 2568.8 684.2 2074.7 2758.9 1.9624 4.7679 6.7303
164 437.15 683.56 1.107 277.8 278.9 692.1 1878.2 2570.4 692.9 2068.1 2761.0 1.9823 4.7309 6.7133
166 439.15 718.31 1.109 265.0 266.1 700.8 1871.1 2571.9 701.6 2061.4 2763.1 2.0022 4.6942 6.6964
168 441.15 754.45 1.112 252.9 254.0 709.5 1863.9 2573.4 710.4 2054.7 2765.1 2.0219 4.6577 6.6796
170 443.15 792.02 1.114 241.4 242.6 718.2 1856.7 2574.9 719.1 2047.9 2767.1 2.0416 4.6214 6.6630
172 445.15 831.06 1.117 230.6 231.7 727.0 1849.5 2576.4 727.9 2041.1 2769.0 2.0613 4.5853 6.6465
174 447.15 871.60 1.120 220.3 221.5 735.7 1842.2 2577.8 736.7 2034.2 2770.9 2.0809 4.5493 6.6302
176 449.15 913.68 1.122 210.6 211.7 744.4 1834.8 2579.3 745.5 2027.3 2772.7 2.1004 4.5136 6.6140
178 451.15 957.36 1.125 201.4 202.5 753.2 1827.4 2580.6 754.3 2020.2 2774.5 2.1199 4.4780 6.5979
180 453.15 1002.7 1.128 192.7 193.8 762.0 1820.0 2581.9 763.1 2013.1 2776.3 2.1393 4.4426 6.5819
182 455.15 1049.6 1.130 184.4 185.5 770.8 1812.5 2583.2 772.0 2006.0 2778.0 2.1587 4.4074 6.5660
184 457.15 1098.3 1.133 176.5 177.6 779.6 1804.9 2584.5 780.8 1998.8 2779.6 2.1780 4.3723 6.5503
186 459.15 1148.8 1.136 169.0 170.2 788.4 1797.3 2585.7 789.7 1991.5 2781.2 2.1972 4.3374 6.5346
188 461.15 1201.0 1.139 161.9 163.1 797.2 1789.7 2586.9 798.6 1984.2 2782.8 2.2164 4.3026 6.5191
190 463.15 1255.1 1.142 155.2 156.3 806.1 1782.0 2588.1 807.5 1976.7 2784.3 2.2356 4.2680 6.5036
192 465.15 1311.1 1.144 148.8 149.9 814.9 1774.2 2589.2 816.5 1969.3 2785.7 2.2547 4.2336 6.4883
194 467.15 1369.0 1.147 142.6 143.8 823.8 1766.4 2590.2 825.4 1961.7 2787.1 2.2738 4.1993 6.4730
196 469.15 1428.9 1.150 136.8 138.0 832.7 1758.6 2591.3 834.4 1954.1 2788.4 2.2928 4.1651 6.4578
198 471.15 1490.9 1.153 131.3 132.4 841.6 1750.6 2592.3 843.4 1946.4 2789.7 2.3117 4.1310 6.4428
200 473.15 1554.9 1.156 126.0 127.2 850.6 1742.6 2593.2 852.4 1938.6 2790.9 2.3307 4.0971 6.4278
202 475.15 1621.0 1.160 121.0 122.1 859.5 1734.6 2594.1 861.4 1930.7 2792.1 2.3495 4.0633 6.4128
204 477.15 1689.3 1.163 116.2 117.3 868.5 1726.5 2595.0 870.5 1922.8 2793.2 2.3684 4.0296 6.3980
206 479.15 1759.8 1.166 111.6 112.8 877.5 1718.3 2595.8 879.5 1914.7 2794.3 2.3872 3.9961 6.3832
208 481.15 1832.6 1.169 107.2 108.4 886.5 1710.1 2596.6 888.6 1906.6 2795.3 2.4059 3.9626 6.3686
210 483.15 1907.7 1.173 103.1 104.2 895.5 1701.8 2597.3 897.7 1898.5 2796.2 2.4247 3.9293 6.3539
212 485.15 1985.2 1.176 99.09 100.26 904.5 1693.5 2598.0 906.9 1890.2 2797.1 2.4434 3.8960 6.3394
214 487.15 2065.1 1.179 95.28 96.46 913.6 1685.1 2598.7 916.0 1881.8 2797.9 2.4620 3.8629 6.3249
216 489.15 2147.5 1.183 91.65 92.83 922.7 1676.6 2599.3 925.2 1873.4 2798.6 2.4806 3.8298 6.3104
218 491.15 2232.4 1.186 88.17 89.36 931.8 1668.0 2599.8 934.4 1864.9 2799.3 2.4992 3.7968 6.2960
220 493.15 2319.8 1.190 84.85 86.04 940.9 1659.4 2600.3 943.7 1856.2 2799.9 2.5178 3.7639 6.2817
222 495.15 2409.9 1.194 81.67 82.86 950.1 1650.7 2600.8 952.9 1847.5 2800.5 2.5363 3.7311 6.2674
224 497.15 2502.7 1.197 78.62 79.82 959.2 1642.0 2601.2 962.2 1838.7 2800.9 2.5548 3.6984 6.2532
226 499.15 2598.2 1.201 75.71 76.91 968.4 1633.1 2601.5 971.5 1829.8 2801.4 2.5733 3.6657 6.2390
228 501.15 2696.5 1.205 72.92 74.12 977.6 1624.2 2601.8 980.9 1820.8 2801.7 2.5917 3.6331 6.2249
230 503.15 2797.6 1.209 70.24 71.45 986.9 1615.2 2602.1 990.3 1811.7 2802.0 2.6102 3.6006 6.2107
232 505.15 2901.6 1.213 67.68 68.89 996.2 1606.1 2602.3 999.7 1802.5 2802.2 2.6286 3.5681 6.1967
234 507.15 3008.6 1.217 65.22 66.43 1005.4 1597.0 2602.4 1009.1 1793.2 2802.3 2.6470 3.5356 6.1826
236 509.15 3118.6 1.221 62.86 64.08 1014.8 1587.7 2602.5 1018.6 1783.8 2802.3 2.6653 3.5033 6.1686
238 511.15 3231.7 1.225 60.60 61.82 1024.1 1578.4 2602.5 1028.1 1774.2 2802.3 2.6837 3.4709 6.1546
240 513.15 3347.8 1.229 58.43 59.65 1033.5 1569.0 2602.5 1037.6 1764.6 2802.2 2.7020 3.4386 6.1406
242 515.15 3467.2 1.233 56.34 57.57 1042.9 1559.5 2602.4 1047.2 1754.9 2802.0 2.7203 3.4063 6.1266
244 517.15 3589.8 1.238 54.34 55.58 1052.3 1549.9 2602.2 1056.8 1745.0 2801.8 2.7386 3.3740 6.1127
246 519.15 3715.7 1.242 52.41 53.66 1061.8 1540.2 2602.0 1066.4 1735.0 2801.4 2.7569 3.3418 6.0987
248 521.15 3844.9 1.247 50.56 51.81 1071.3 1530.5 2601.8 1076.1 1724.9 2801.0 2.7752 3.3096 6.0848
250 523.15 3977.6 1.251 48.79 50.04 1080.8 1520.6 2601.4 1085.8 1714.7 2800.4 2.7935 3.2773 6.0708
252 525.15 4113.7 1.256 47.08 48.33 1090.4 1510.6 2601.0 1095.5 1704.3 2799.8 2.8118 3.2451 6.0569
254 527.15 4253.4 1.261 45.43 46.69 1100.0 1500.5 2600.5 1105.3 1693.8 2799.1 2.8300 3.2129 6.0429
256 529.15 4396.7 1.266 43.85 45.11 1109.6 1490.4 2600.0 1115.2 1683.2 2798.3 2.8483 3.1807 6.0290
258 531.15 4543.7 1.271 42.33 43.60 1119.3 1480.1 2599.3 1125.0 1672.4 2797.4 2.8666 3.1484 6.0150
260 533.15 4694.3 1.276 40.86 42.13 1129.0 1469.7 2598.6 1134.9 1661.5 2796.4 2.8848 3.1161 6.0010
262 535.15 4848.8 1.281 39.44 40.73 1138.7 1459.2 2597.8 1144.9 1650.4 2795.3 2.9031 3.0838 5.9869
264 537.15 5007.1 1.286 38.08 39.37 1148.5 1448.5 2597.0 1154.9 1639.2 2794.1 2.9214 3.0515 5.9729
266 539.15 5169.3 1.291 36.77 38.06 1158.3 1437.8 2596.1 1165.0 1627.8 2792.8 2.9397 3.0191 5.9588
268 541.15 5335.5 1.297 35.51 36.80 1168.2 1426.9 2595.0 1175.1 1616.3 2791.4 2.9580 2.9866 5.9446
270 543.15 5505.8 1.303 34.29 35.59 1178.1 1415.9 2593.9 1185.2 1604.6 2789.9 2.9763 2.9541 5.9304
272 545.15 5680.2 1.308 33.11 34.42 1188.0 1404.7 2592.7 1195.4 1592.8 2788.2 2.9947 2.9215 5.9162
274 547.15 5858.7 1.314 31.97 33.29 1198.0 1393.4 2591.4 1205.7 1580.8 2786.5 3.0131 2.8889 5.9019
276 549.15 6041.5 1.320 30.88 32.20 1208.0 1382.0 2590.1 1216.0 1568.5 2784.6 3.0314 2.8561 5.8876
278 551.15 6228.7 1.326 29.82 31.14 1218.1 1370.4 2588.6 1226.4 1556.2 2782.6 3.0499 2.8233 5.8731
280 553.15 6420.2 1.332 28.79 30.13 1228.3 1358.7 2587.0 1236.8 1543.6 2780.4 3.0683 2.7903 5.8586
282 555.15 6616.1 1.339 27.81 29.14 1238.5 1346.8 2585.3 1247.3 1530.8 2778.1 3.0868 2.7573 5.8440
284 557.15 6816.6 1.345 26.85 28.20 1248.7 1334.8 2583.5 1257.9 1517.8 2775.7 3.1053 2.7241 5.8294
286 559.15 7021.8 1.352 25.93 27.28 1259.0 1322.6 2581.6 1268.5 1504.6 2773.2 3.1238 2.6908 5.8146
288 561.15 7231.5 1.359 25.03 26.39 1269.4 1310.2 2579.6 1279.2 1491.2 2770.5 3.1424 2.6573 5.7997
290 563.15 7446.1 1.366 24.17 25.54 1279.8 1297.7 2577.5 1290.0 1477.6 2767.6 3.1611 2.6237 5.7848
292 565.15 7665.4 1.373 23.33 24.71 1290.3 1284.9 2575.3 1300.9 1463.8 2764.6 3.1798 2.5899 5.7697
294 567.15 7889.7 1.381 22.52 23.90 1300.9 1272.0 2572.9 1311.8 1449.7 2761.5 3.1985 2.5560 5.7545
296 569.15 8118.9 1.388 21.74 23.13 1311.5 1258.9 2570.4 1322.8 1435.4 2758.2 3.2173 2.5218 5.7392
298 571.15 8353.2 1.396 20.98 22.38 1322.2 1245.6 2567.8 1333.9 1420.8 2754.7 3.2362 2.4875 5.7237
300 573.15 8592.7 1.404 20.24 21.65 1333.0 1232.0 2565.0 1345.1 1406.0 2751.0 3.2552 2.4529 5.7081
302 575.15 8837.4 1.412 19.53 20.94 1343.8 1218.3 2562.1 1356.3 1390.9 2747.2 3.2742 2.4182 5.6924
304 577.15 9087.3 1.421 18.84 20.26 1354.8 1204.3 2559.1 1367.7 1375.5 2743.2 3.2933 2.3832 5.6765
306 579.15 9342.7 1.430 18.17 19.60 1365.8 1190.1 2555.9 1379.1 1359.8 2739.0 3.3125 2.3479 5.6604
308 581.15 9603.6 1.439 17.52 18.96 1376.9 1175.6 2552.5 1390.7 1343.9 2734.6 3.3318 2.3124 5.6442
310 583.15 9870.0 1.448 16.89 18.33 1388.1 1161.0 2549.1 1402.4 1327.6 2730.0 3.3512 2.2766 5.6278
312 585.15 10142.1 1.458 16.27 17.73 1399.4 1146.0 2545.4 1414.2 1311.0 2725.2 3.3707 2.2404 5.6111
314 587.15 10420.0 1.468 15.68 17.14 1410.8 1130.8 2541.6 1426.1 1294.1 2720.2 3.3903 2.2040 5.5943
