# buffer coefficients for density (dci) and viscosity (vci) as extracted from Ultrascan3 ( http://www.ultrascan3.uthscsa.edu )
# GNU Lesser General Public License, version 3.
# Copyright notice and license information UltraScan Project http://www.ultrascan3.uthscsa.edu/license.php
# The UltraScan software is copyright protected by international laws.
# The copyright is owned by Borries Demeler, PhD (1989-present) and The University of Texas Health Science Center
# at San Antonio (1997-present). All rights reserved.
#
# name dc0 dc1 dc2 dc3 dc4 dc5 vc0 vc1 vc2 vc3 vc4 vc5 unit range
PotassiumChloride 0.99823 0.00000 4.75162 -1.64923 2.56432 -20.90000 1.00043 0.00000 -1.47276 2.98452 9.71530 0.00000 mM 0-3.742_M
PotassiumChromate 0.99788 3.90530 14.64400 -3.22440 32.24400 -804.17000 0.99631 31.42000 10.30000 58.63000 27.00000 0.00000 mM 0-1.972_M
PotassiumDichromate 0.99827 0.00000 20.35301 -15.29853 0.00000 0.00000 0.99990 0.00000 2.89129 0.00000 0.00000 0.00000 mM 0-364_mM
PotassiumFerricyanide 0.99819 0.81486 16.81400 7.08140 -48.19400 -3250.30000 1.00032 20.96000 6.65000 155.57000 607.40000 0.00000 mM 0-1.073_M
PotassiumFerrocyanide 0.99719 13.36600 20.21100 65.13500 -1361.30000 93298.00000 0.99835 47.92000 26.18000 321.50000 -37.60000 0.00000 mM 0-618_mM
PotassiumHydroxide 0.99838 -1.50366 4.98964 -1.65490 0.84864 -2.03780 1.00011 -11.47067 11.74842 1.71339 15.48195 0.00000 mM 0-13.388_M
PotassiumIodide 0.99809 1.07620 11.98600 -1.25060 3.23420 -42.41500 0.99361 46.49000 -16.97100 62.24000 -92.80000 0.00000 mM 0-2.297_M
PotassiumNitrate 0.99875 -2.89000 6.72470 -4.72690 13.78700 -174.78000 1.00053 -6.64000 -4.83400 25.16000 -18.80000 0.00000 mM 0-2.759_M
PotassiumOxalate 0.99892 -5.69140 13.02700 -22.57400 185.27000 -5858.30000 1.00682 -64.49000 31.84600 -91.68000 905.70000 0.00000 mM 0-931_mM
PotassiumPermanganate 0.99757 7.94450 8.24800 73.89500 -2002.30000 196460.00000 0.99627 37.23000 -13.00100 201.77000 -2747.00000 0.00000 mM 0-394_mM
PotassiumPhosphate,DiBasic 0.99826 0.00000 14.74589 -16.32800 112.09800 0.00000 0.99992 -6.68598 39.15859 0.00000 1650.51000 0.00000 mM 0-491_mM
PotassiumPhosphate,MonoBasic 0.99825 0.00000 9.52395 5.56057 -252.16000 15765.00000 1.00022 -14.15220 26.39116 112.62650 -458.14160 0.00000 mM 0-786_mM
PotassiumSulfate 0.99823 -1.00036 14.28901 -19.07038 78.09765 0.00000 0.99985 0.00000 14.83249 170.83420 -1156.52400 0.00000 mM 0-620_mM
PotassiumThiocyanate 0.99778 2.72284 4.41185 0.00000 -0.59769 3.20363 1.00307 -12.38000 -4.64700 15.22000 1.77465 0.00000 mM 0-5.021_M
ProcaineHydrochloride 0.99827 -0.05165 4.52160 4.96760 -27.69500 469.02000 1.13444 -1106.50000 287.84500 -1966.53000 13734.20000 0.00000 mM 0-1.745_M
Propanol1 0.99820 0.00000 -1.21245 2.81044 -7.63148 53.39717 1.00725 -119.10620 44.35231 7.82088 -31.16201 0.00000 mM 0-6.741_M
Propanol2 0.99930 -12.14605 0.16192 -1.41955 0.23110 0.00000 1.00047 0.00000 31.73283 26.30037 88.91535 0.00000 mM 0-13.06_M
PropyleneGlycol 0.99794 1.26850 0.29384 1.49960 -2.58140 12.72200 1.00773 -331.18000 56.20500 -24.69000 112.70000 0.00000 mM 0-8.215_M
SilverNitrate 0.99841 1.19230 13.84300 0.78821 -8.46450 131.37000 0.99789 13.77000 3.31400 19.13000 -1.52308 0.00000 mM 0-3.471_M
SodiumAcetate 0.99809 4.17494 3.22595 5.42805 -18.29360 180.91580 1.00177 -30.89277 35.99120 44.79418 144.79600 0.00000 mM 0-2.4_M
SodiumBicarbonate 0.99823 0.00000 5.96817 0.00000 -114.94160 9653.32500 0.99968 0.00000 21.85000 38.65000 0.00000 0.00000 mM 0-743_mM
SodiumBromide 0.99806 0.95250 7.82080 -0.77671 0.49168 -1.04770 1.00206 -7.13000 5.33700 4.87000 26.40000 0.00000 mM 0-5.495_M
SodiumCarbonate 0.99819 0.21501 11.02600 -13.47700 47.43100 -885.00000 0.98837 58.18000 42.14600 157.31000 851.40000 0.00000 mM 0-1.638_M
SodiumChloride 0.99823 0.00000 4.14712 -1.23975 1.15528 -5.21415 1.00193 -5.05987 9.63862 0.00000 31.65830 0.00000 mM 0-5.326_M
SodiumCitrate 0.99830 -4.20553 18.78849 -16.48328 0.00000 763.06840 0.99969 0.00000 99.98432 93.87350 8944.84000 0.00000 mM 0-1.099_M
SodiumDiatrizoate 1.00200 -44.59100 50.90300 -247.36000 3568.10000 -190300.00000 1.16872 -1681.93000 539.86900 -5855.61000 74457.50000 0.00000 mM 0-836_mM
SodiumDichromate 0.99852 -0.80676 19.02000 -5.90060 9.35290 -76.75600 1.00177 -9.25000 21.66000 36.37000 672.80000 0.00000 mM 0-2.403_M
SodiumFerrocyanide 0.99853 -4.00320 23.68800 -109.19000 2240.10000 -173750.00000 0.98947 134.91000 53.09400 797.61000 4226.50000 0.00000 mM 0-550_mM
SodiumHydroxide 0.99816 1.54203 4.27533 -1.52100 0.69530 -1.90440 1.00071 -27.64113 25.33124 -1.80466 109.27000 0.00000 mM 0-14.295_M
SodiumMolybdate 0.99808 3.10400 15.80500 86.44700 -2259.30000 183100.00000 0.99661 50.81000 34.14600 268.52000 -430.80000 0.00000 mM 0-472_mM
SodiumPhosphate,DiBasic 0.99826 0.00000 14.15826 -28.77017 234.23740 0.00000 1.00015 -26.94314 66.22344 0.00000 4665.33100 0.00000 mM 0-408_mM
SodiumPhosphate,MonoBasic 0.99826 0.00000 8.83506 -3.85794 5.29888 -40.55664 0.99898 0.00000 38.40933 60.61270 433.13300 0.00000 mM 0-2.625_M
SodiumPhosphate,TriBasic 0.99823 2.35760 18.00187 6.89182 -136.31100 0.00000 0.99988 49.42915 72.27851 1062.90900 0.00000 0.00000 mM 0-535_mM
SodiumSulfate 0.99824 0.00000 12.66872 -12.26328 64.65751 -2003.41500 0.99694 0.00000 40.40690 85.31960 660.24700 0.00000 mM 0-1.676_M
SodiumTartrate 0.99801 0.96317 13.53500 -12.50000 43.61800 -861.03000 0.99371 36.82000 53.73600 74.55000 2470.20000 0.00000 mM 0-1.75_M
SodiumThiocyanate 1.00170 -13.69300 5.17770 -2.64980 2.61630 -11.01200 1.00329 -3.99000 3.88300 14.95000 26.40000 0.00000 mM 0-4.643_M
SodiumThiosulfate 0.99776 3.55610 12.39300 -6.71550 9.50790 -91.71800 1.07114 -442.34000 95.36200 -264.71000 1266.50000 0.00000 mM 0-3.498_M
SodiumTungstate 0.99583 36.85600 11.49700 806.13000 -27379.00000 3401600.00000 1.00890 -107.33000 72.68400 -170.16000 323.90000 0.00000 mM 0-332_mM
StrontiumChloride 0.99827 -0.09032 13.92700 -2.77740 -9.69800 259.85000 1.03852 -227.77000 60.16000 -165.65000 712.30000 0.00000 mM 0-3.205_M
Sucrose 0.99827 -0.21963 13.23726 -1.83647 0.00000 -25.13871 1.00110 -52.13491 107.94530 0.00000 11916.34000 0.00000 mM 0-914_mM
SulfuricAcid 0.99817 2.05171 6.10052 -0.20639 -2.15038 17.65096 0.99646 0.00000 20.88912 0.00000 43.95996 0.00000 mM 0-3.435_M
TartaricAcid 0.99815 1.61090 6.41580 0.85463 -4.94310 50.27200 1.02170 -138.46000 54.55300 -82.49000 724.10000 0.00000 mM 0-2.12_M
TetracaineHydrochloride 0.99820 0.00000 3.88078 -1.06621 0.00000 0.00000 0.99958 0.00000 82.78300 1765.25500 0.00000 0.00000 mM 0-404_mM
TrichloroaceticAcid 0.99763 0.00000 36.11419 95.54537 -285.51150 4695.83900 1.00117 -38.08678 43.68669 28.55220 16.73610 0.00000 mM 0-2.984_M
Trifluoroethanol 0.99812 3.83029 3.29838 -0.41439 0.00000 0.00000 0.99907 -80.10114 24.86394 -16.10573 0.00000 0.00000 mM 0-11.276_M
Tris(Hydroxymethyl)Aminomethane 0.99823 0.00000 2.84717 1.31068 -3.93586 38.96285 0.99846 0.00000 32.16556 59.46483 344.51400 0.00000 mM 0-2.289_M
Urea 0.99822 0.00000 1.49081 0.61729 -1.54142 10.26086 1.00249 -19.45872 5.59969 -1.35929 6.83825 0.00000 mM 0-8.665_M
ZincSulfate 0.99825 -0.78088 16.94782 -22.17244 142.70430 -4038.58000 0.99908 0.00000 62.03292 172.71530 1177.89500 0.00000 mM 0-1.17_M
