tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.1	188.2	9.6	sc12b2_LP-DIR-T		2.436e-05		273.0	sc12b2_LP-DIR-T12	LT-T-Z:LP-DIR-T	g	12	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	12	803.0
	This study		0.1	186.9	11.7	sc12b2_LP-DIR-T		2.334e-05		273.0	sc12b2_LP-DIR-T13	LT-T-Z:LP-DIR-T	g	13	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	13	813.0
	This study		0.1	183.7	9.7	sc12b2_LP-DIR-T		2.087e-05		273.0	sc12b2_LP-DIR-T14	LT-T-Z:LP-DIR-T	g	14	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	14	823.0
	This study		0.3	184.5	10.6	sc12b2_LP-DIR-T		1.86e-05		273.0	sc12b2_LP-DIR-T15	LT-T-Z:LP-DIR-T	g	15	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	15	833.0
	This study		0.2	183.9	8.1	sc12b2_LP-DIR-T		1.545e-05		273.0	sc12b2_LP-DIR-T16	LT-T-Z:LP-DIR-T	g	16	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	16	838.0
	This study		0.2	184.1	11.1	sc12b2_LP-DIR-T		1.347e-05		273.0	sc12b2_LP-DIR-T17	LT-T-Z:LP-DIR-T	g	17	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	17	843.0
	This study		0.1	185.8	7.3	sc12b2_LP-DIR-T		9.768999999999999e-06		273.0	sc12b2_LP-DIR-T18	LT-T-Z:LP-DIR-T	g	18	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	18	848.0
	This study		0.4	184.8	10.4	sc12b2_LP-DIR-T		7.957999999999999e-06		273.0	sc12b2_LP-DIR-T19	LT-T-Z:LP-DIR-T	g	19	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	19	853.0
	This study		0.2	186.1	9.8	sc12b2_LP-DIR-T		5.398e-06		273.0	sc12b2_LP-DIR-T20	LT-T-Z:LP-DIR-T	g	20	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	20	858.0
	This study		0.2	184.4	7.6	sc12b2_LP-DIR-T		2.91e-06		273.0	sc12b2_LP-DIR-T21	LT-T-Z:LP-DIR-T	g	21	pmagpy-4.2.15	sc12b2	u	0.0	0	0	0	21	863.0
