# Category, Subcategory, ROI, Name, lat, lon_e, size_km, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), Special Requirements
# 1, 0, #FECCCC, Potential Cryovolcanic Regions, ---, ---, ---, ---, ---, ---, ---, Geologically young surface features of possible cryovolcanic origin, Understand the formation of surface features and search for past and present activity (GB/GD/GE), Best spatial resolution and SNR possible required to identify source of activity
4, 3, 4, Irkala, -32.5, 245.2, 117, -38, -26, 238, 250, Dome crater possibly with additional rings (?) + several central peak craters close by, Complex dome crater formation in the extensive resurfaced portions of bright terrain,
4, 3, 5, Seker, -39.2, 14.6, 103, -46, -34, 7, 20, Dome crater partially located in bright and dark terrain, Type example of dome crater at the transition of bright and dark terrain,
4, 3, 6, Atra-hasis, 22.5, 105.9, 133, 14, 29, 98, 114, Dome crater with a distinct continous ejecta blanket in bright terrain (?), Geological evolution of dome craters and subsurface structure in the bright terrain,
4, 3, 7, Lagamal, 64.3, 115.8, 131, 60, 70, 107, 125, Possible fresh dome crater, Poorly resolved. Formation of dome craters in the bright terrain,
4, 3, 8, Serapis, -12.4, 315.9, 169, -16, -7, 311, 322, Possible fresh dome or anomaleous dome crater within bright terrain possible multiple rings, Impressive feature but poorly resolved and illuminated,
4, 3, 9, Damkina, -30.2, 355.1, 190, -36, -22, 346, 4, Dome crater located in dark terrain and cut by bright terrain, So far poorly observed. Changes in topography and composition with substrate and surface age,
# 4, 4, #CCCDFD, Pedestal Craters, ---, ---, ---, ---, ---, ---, ---, Fresh impact craters with topographically elevated continuous ejecta blankets, Study subsurface properties related to elevated ejecta deposits,
4, 4, 1, Dendera, -1.1, 104.5, 82, -7, 5, 98, 111, Pit crater withdarker pedestals within dark terrain, Formation of pedestal craters within dark terrain. Close to equator area with less plasma precipitation,
4, 4, 2, None, 69.0, 329, 50, 66, 72, 322, 334, Group of unnamed pedestal craters completely within bright terrain within northern polar caps, Type example of pedestal craters within the bright terrain,
4, 4, 3, Etana, 74.7, 19.65, 46, 70, 79, 14, 25, Pedestal crater completely within bright terrain within northern polar caps close to a pit crater, Comparison of pit and pedestal craters in the substrate,
4, 4, 4, Menhit, -36.3, 219.7, 140, -39, -33, 216, 221, Pedestal crater in Sippar Sulcus / E of Osiris, Type example of pedestal craters within the bright terrain,
4, 4, 5, Mor, 30.5, 32.6, 45, 29, 32, 31, 34, Pedestal crater E of Zakar (#4.5.13), Type example of pedestal craters within the bright terrain,
4, 4, 6, None, 4.5, 200.2, 31, 3.5, 5.5, 199, 201.5, Pedestal crater in Uruk Sulcus, Type example of pedestal craters within the bright terrain,
4, 4, 7, None, -2.3, 228, 30, -3.3, -1.3, 227, 229, Pedestal crater in Uruk Sulcus, Type example of pedestal craters within the bright terrain,
4, 4, 8, None, 49.0, 300.3, 45, 48, 50, 299, 302, Pedestal crater in Xibalba Sulcus, Type example of pedestal craters within the bright terrain,
4, 4, 9, None, 49.4, 304.6, 35, 48.5, 50.5, 303, 306, Pedestal crater in Xibalba Sulcus, Type example of pedestal craters within the bright terrain,
4, 4, 10, None, -18.7, 307.4, 60, -20, -17.5, 306, 308.5, Pedestal crater in Mysia Sulcus, Type example of pedestal craters within the bright terrain,
4, 4, 11, None, -27.2, 313.8, 40, -28.5, -26, 312.5, 315, Pedestal crater in Mysia Sulcus, Type example of pedestal craters within the bright terrain,
# 4, 5, #CCCDFD, Palimpsests, ---, ---, ---, ---, ---, ---, ---, Impact features with subdued inner-crater features, Study subsurface properties related to palimpsest formation,
4, 5, 1, Abydos Facula, 33.3, 206.6, 180, 29, 39, 202, 211, Partially overlapping Lumha (degraded dome crater?) in Galileo Regio, Not imaged by Voyager and Galileo at med or highres,
4, 5, 2, Memphis Facula, 14.1, 228.1, 361, 8, 20, 222, 235, In Galileo Regio lots of other Palimpsests here /existing NIMS observation with 40 km, --,
4, 5, 3, Epigeus, 23.0, 179.3, 343, 17, 28, 173, 185, In Nippur Sulcus. Imaged by NIMS, Changes in topography and composition with substrate,
4, 5, 4, Bigeh Facula, 29.0, 265.7, 224, 26, 32, 262, 269, partially in Galileo Regio and Xibalba Sulcus, Changes in topography and composition with substrate,
4, 5, 5, None, 2.0, 4.0, 120, -2, 7, 0, 10, Group of unnamed palimpsest in Bernard Regio but influenced by tectonic, Changes in topography and composition with substrate,
4, 5, 6, Gad, -13.6, 222.4, 72, -16, -10, 216, 227, Penepalimpsest or degraded dome crater Gad next to a degraded crater Ninsum, Different morphologies in the same substrate - age difference?,
4, 5, 7, Busiris, 16.0, 144.7, 369, 11, 24, 136, 149, Palimpsest partly overlayed by younger impacts and cut by bright terrain, Changes in topography and composition with substrate and surface age,
4, 5, 8, Buto, 13.3, 156.8, 245, 9, 19, 151, 160, Palimpsest in Galileo Region partly overlayed by a younger impact, Reinvestigate Galileo SSI site - changes in topography and composition with substrate and surface age,
4, 5, 9, Coptos, 10.0, 151, 329, 6, 16, 145, 154, Palimpsest in Galileo Region partly overlayed by a younger impact possibly with dark ejecta , Changes in topography and composition with substrate and surface age / origin of dark material,
4, 5, 10, Hathor, -66.9, 91.3, 173, -73, -61, 82, 102, Penepalimpsest or degraded dome crater, Changes in topography and composition with substrate and surface age / origin of dark material,
4, 5, 11, Teshub, -68.3, 80.7, 188, -62, -72, 64, 88, Palimsest in extensively resurfaced bright terrain close to Hathor , Resurfacing style of bright terrain close to the polaes. Extensively resurfaced region,
4, 5, 12, Nidaba, 17.7, 236.6, 199, 11, 22, 232, 242, Palimsest in Galileo Regio with multiple rings, Resurfacing style of bright terrain close to the polaes. Extensively resurfaced region,
4, 5, 13, Zakar, 31.3, 26.3, 170, 26, 34, 20, 34, Degraded palimpsest in bright terrain, Degradation by tectonic resurfacing,
4, 5, 14, None, -10.2, 34.0, 150, -12, -7, 32, 36, Palimpsest - but also contact dark to bright terrain - with direct effects to craters, Changes in topography and composition with substrate,
# 4, 6, #CCCDFD, Impact Basins, ---, ---, ---, ---, ---, ---, ---, Multiring basins, Stratigraphic marker for surface age measurements - oldest impact features,
4, 6, 1, Gilga-mesh, -62.8, 235.2, 153, -47, -84, 212, 255, Impact basin east of Osiris. Reaches into the southern polar region, Age determination. Time marker for measurements of surface ages. Transition to pronounced plasma precipitation,
4, 6, 2, Ninki, -8.4, 239.2, 194, -14, 0, 231, 247, Impact basin south of Galileo Regio of unknown age and overlaid by several impacts of different morphology, Age relations to Gilgamesh and younger impacts,
4, 6, 3, None, 56.0, 286.0, 200, 37, 72, 265, 320, Unnamed degraded iringstructure and penepalimpsest Anzu at northeastern margin of galileo regio, Relationship to Galileo Regio tectonics,
# 4, 7, #CCCDFD, Catenae Impact, ---, ---, ---, ---, ---, ---, ---, Crater chains, Investigate impactor properties and impact mechanisms,
4, 7, 1, Terah Catena, 7.1, 82.4, 283, 2, 12, 76, 89, Catena with extensively resurfaced bright terrain close to the equator, Not imaged by Voyager and Galileo at med or highres. Area of low plasma precipitation,
4, 7, 2, None, 10.1, 84.1, 120, 6, 15, 270, 282, Surface feature of unknown origin. Possibly a crater chain, Poorly observed catena related to impact or subsurface processes,
4, 7, 3, Enki Catena, 38.8, 346.1, 160, 34, 42, 340, 353, Catena crossing bright and dark terrain, Changes in geology topography and composition with substrate,
4, 7, 4, Nanshe Catena, 15.4, 7.1, 104, 12, 20, 2, 10, Catena in bright terrain with bright ejecta, Not imaged by Voyager and Galileo at med or highres,
# 5, 0, #CEFFFF, Bright Ray Craters, ---, ---, ---, ---, ---, ---, ---, Young bright impact craters with an extended bright ray system, Characterise the ice shell (GB/GD/GE),
5, 0, 1, Amon, 33.7, 139.4, 102, 26, 40, 132, 146, Dome crater with bright rays located mostly within bright terrain, Type example of dome crater with bright ejecta located within the bright terrain,
5, 0, 2, Tros, 11.1, 332.7, 94, 5, 21, 324, 340, Fresh pit or dome crater in bright terrain, Rays captured by Galileo SSI in target area 29GSCAPCOL01-10,
5, 0, 3, Punt, -24.9, 120.1, 135, -31, -20, 111, 129, Bright dome crater with extended bright ray system located within Melotte Regio, Not imaged by Voyager or Galileo at medres or hires. Very poorly observed. Important relatio to the tectonic events in Marius Regio,
5, 0, 4, None, 41, 19.0, 40, 38, 46, 13, 25, Unnamed crater wirh bright and intermediate albedo ejecta, Poorly resolved. Type example of dome crater with bright and darker ejecta,
5, 0, 5, Apophis, -8.1, 83.8, 57, -10, -6, 82, 86, Small bright ray crater close to We-ila, Poorly resolved. Type example of dome crater with bright ejecta located within dark terrain,
5, 0, 6, Haroeris/Ta-Urt, 28.5, 63.2, 70, 25, 33, 52, 69, Bright ray crater of unknown morphology close to Hershef, Surface age in comparison to Osiris. Transition to polar caps,
5, 0, 7, Andjeti, -52.7, 198.9, 52, -57, -48, 193, 202, S of Osiris. Bright ray crater with a central pit, Surface age in comparison to Osiris. Transition to polar caps,
5, 0, 8, Shu, 43.2, 3.2, 44, 38, 49, 358, 8, Bright ray crater with unresolved morphology. Observed by NIMS, Unresolved morphology and substrate. Influence of polar deposits,
5, 0, 9, Selket, 15.0, 254.3, 168, 10, 20, 250, 260, Poorly resolved bright ray crater in Galileo Regio, Surface age. Compositional and morphological differences between bright ray crater in bright and dark terrain,
5, 0, 10, Achelous, 61.9, 348.2, 40, 58, 64, 6, 18, Bright ray crater located within bright terrain inlcuding an unnamed close central peak crater, Unresolved differences in the crater morphology - same substrate. Same size. Age is unknown,
5, 0, 11, Laomedon, 21.0, 282.0, 40, 15, 29, 276, 288, Bright crater with extended rays in Xibalba Sulcus, Ejecta developement in bright terrain,
5, 0, 12, Cisti, -31.6, 295.7, 70, -40, -23, 286, 304, Young fresh crater central pit craters (bright ejecta/rays) within bright terrain, Geological evolution of pit craters and subsurface structure in the bright terrain,
# 6, 0, #FD9827, Tectonically Resurfaced Terrain, ---, ---, ---, ---, ---, ---, ---, Tectonic resurfacing, Characterise the ice shell / Determine global composition -- distribution and evolution of surface materials / Understand the formation of surface features and search for past and present activity (GB/GD/GE),
# 6, 1, #FECB6E, Grooves / Fractures, ---, ---, ---, ---, ---, ---, ---, Initial tectonics, Investigate starting resurfacing of the dark terrain,
6, 1, 1, Marius Regio I, -10.0, 195.0, 300, -14, -8, 180, 190, Peculiar groove in Marius Regio intersection and overlaid by impact craters, Formation of grooves in dark terrain. Age relationship to dark terrain,
6, 1, 2, Galileo Regio, 18.0, 209.0, 700, 13, 25, 198, 215, Intersecting grooves in galileo region, Formation of grooves in dark terrain. Age relationship to dark terrain,
6, 1, 3, Galileo Regio, 29.0, 229.0, 400, 22, 33, 225, 237, Intersecting grooves in galileo regio including peculiar small impact craters, Formation of grooves in dark terrain. Age relationship to dark terrain,
6, 1, 4, Perrine Regio, 17.0, 305.0, 400, 10, 25, 297, 312, Grooves in Perrine Regio seperating a degraded dome crater and a possibly patera in the close bright terrain, Resurfacing style of dark terrain and craters. Contact between bright and dark terrain,
6, 1, 5, Marius Regio II, 35.0, 193.0, 300, 29, 39, 163, 173, Grooves in northern Marius Regio, Resurfacing style of dark terrain and craters. Contact between bright and dark terrain,
6, 1, 6, Marius Region III, 41.0, 201.0, 300, 34, 45, 152, 164, Different sets of grooves in northern Marius Regio. Partly intersecting impact craters, Resurfacing style of dark terrain and craters. Contact between bright and dark terrain,
6, 1, 7, Nicholson Regio, -21.0, 345.0, 400, -29, -16, 7, 20, Different sets of grooves in Nicholson Regio. Partly intersecting impact craters, Resurfacing style of dark terrain and craters. Contact between bright and dark terrain,
6, 1, 8, Anshar Sulcus, 12, 170, 300, 10, 14, 167, 173, Portions of Anshar Sulcus intersection Marius Regio, Resurfacing style of dark terrain and craters. Contact between bright and dark terrain,
# 6, 2, #FECB6E, Bands, ---, ---, ---, ---, ---, ---, ---, Individual tectonic bands, Investigate formation and tectonic style of bands,
6, 2, 1, Hursag Sulcus, -15.0, 98.0, 600, -19, -3, 89, 106, Piece of dark terrain (Melotte Regio) surrounded by several bands (Shuruppak and Hursag Sulcus), Age relationship of cracks and bands. Resurfacing style of dark terrain and craters. Contact between brigh and dark terrain,
6, 2, 2, Anshar Sulcus, 25.0, 155.0, 300, 16, 31, 148, 162, Piece of dark terrain (Marius Regio) surrounded by several bands (Mash and Anshar Sulcus), Age relationship of cracks and bands. Resurfacing style of dark terrain and craters. Contact between brigh and dark terrain,
6, 2, 3, Melotte Regio, -17.0, 148.0, 300, -25, -11, 140, 158, Dark terrain of Melotte Regio strongly intersected by numerous, Age relationship of cracks and bands. Resurfacing style of dark terrain and craters. Contact between brigh and dark terrain,
6, 2, 4, Dardanus Sulcus, -31.5, 347, 600, -23, -15, 340, 352, Bright band intersecting Nicholson Regio, Poorly resolved region with intersecting bands,
6, 2, 5, Arbela Sulcus, -16, 12, 300, -19, -14, 10, 15, Bright band intersecting Nicholson Regio, Poorly resolved region with intersecting bands,
# 6, 3, #FECB6E, Network of Bands, ---, ---, ---, ---, ---, ---, ---, Complex network of tectonic features, Investigate formation and tectonic style of resurfacing,
6, 3, 1, Babylon Sulci I, -38.0, 227.0, 450, -43, -32, 222, 233, Portion of extensively reurfaced area of Babylon sulci (different deformation styles) and embedded small pedestal craters, Age relationships of different resurfacing styles formation of bright terrain and influence onto crater formation and degradation,
6, 3, 2, Uruk Sulcus, -6.0, 210.0, 500, -13, 1, 202, 219, Networks of bands in Uruk Sulcus with different styles of contact to dark terrain. Sulcus superimposed by numerous impact craters formation of Uruk Sulcus, Age relationships of different resurfacing styles. Formation of bright terrain and influence onto crater formation and degradation. NIMS observation available,
6, 3, 3, Uruk Sulcus II, 9.0, 180.0, 500, 5, 15, 182, 192, Networks of bands in Uruk Sulcus with different styles of contact to dark terrain. Sulcus superimposed by numerous impact craters. Degraded dome crater. Buried dark terrain?, Formation of Uruk sulcus. Age relationships of different resurfacing styles. Formation of bright terrain and influence onto crater formation and degradation. NIMS observation available,
6, 3, 4, Mysia Sulci, -1.0, 318.0, 500, -6, 4, 39, 49, Extensively resurfaced region of Mysia Sulci with a superimposed fresh pedestal crater, Age relationships of different resurfacing styles. Formation of bright terrain and influence onto crater formation and degradation,
6, 3, 5, Sippar Sulcus, -20.0, 186.0, 550, -25, -13, 180, 192, Extensively resurfaced region of Sippar Sulcus with a superimposed fresh pedestal crater, Age relationships of different resurfacing styles. Resurfacing style of dark terrain and craters. Contact between bright/dark terrain. Partly covered by NIMS,
6, 3, 6, Babylon Sulci II, 4.0, 285.0, 550, -1, 10, 280, 291, Piece of dark terrain in extensively resurfaced (partly very smooth) region of Babylon Sulci, Age relationships of different resurfacing styles. Resurfacing style of dark terrain and craters. Contact between bright/dark terrain. Partly covered by NIMS,
6, 3, 7, Babylon Sulci III, -25.0, 308.0, 500, -31, -20, 303, 314, Piece of dark terrain in extensively resurfaced (partly very smooth) region of Babylon Sulci, Age relationships of different resurfacing styles. Resurfacing style of dark terrain and craters. Contact between bright/dark terrain. Partly covered by NIMS,
6, 3, 8, Babylon sulci III, -8.5, 296.0, 400, -13, -4, 290, 300, Extensively resurfaced region with possible remnants of dark terrain exposed by fresh craters, Formation of bright terrain and resurfacing mechanism of dark terrain and dark floor craters,
6, 3, 9, Mont, 44.6, 48.0, 450, 39, 49, 46, 56, Extensively resurface region around impact crater Mont investigation of different deformation styles; impact crater, Formation and degradation possible location of pateras,
